mesh,semantic_label,shape_family,decision,shape_class,candidate_fraction,conductance,fiedler_eigengap,s8_safe,s8_valid,automatic_repair,s8_safety_reason,s8_validation_reason,geometry_hash
appendage_long,legitimate,thin_rod,repair_candidate,rod,0.0767590618336887,0.018779342723004695,0.005315237551746184,True,True,True,safety_checks_passed,,ba2b2aafc551dd30f0ac27a625a5c1b264ec48dc6ff9fd544e516157af798105
appendage_medium,legitimate,thin_rod,repair_candidate,rod,0.0596529284164859,0.024691358024691357,0.004399283824678248,False,,False,boundary_not_planar,,e9481c5e776c9a7f21f5b9d20c1f77cce7343341d8d5fd9fbac8c4240d534e8d
appendage_short,legitimate,thin_rod,manual_review,rod,0.04304635761589404,0.03508771929824561,0.0026151858940486293,,,False,,,aabd6bc89cdf266d905d700c1a9f198470a3fc7cc32e6d59b1a089f929197bdc
baseline_cube,legitimate,baseline,keep,intermediate,0.5,0.037037037037037035,1.7780915628762273e-16,,,False,,,0f040996d09c988fafc24396c91669d46c44e821ad60d83b53116436e0616ef9
defect_spike,defect_like,elongated_adversarial,manual_review,intermediate,0.14087301587301587,0.009456264775413711,0.00550669870061961,,,False,,,13e52e394dfb6429c2ca7a7bda83620f0b2e30bc2a18dc5ebde507f128f74bd6
flat_flap,legitimate,thin_sheet,repair_candidate,sheet,0.17105263157894737,0.012867647058823529,0.005296227795297358,False,,False,boundary_not_planar,,4cced536bd1362791f4206054d0aa04971b2a9353ac01a961cb64d98ac791680
legitimate_compact_boss,legitimate,compact_broad_base,keep,intermediate,0.5,0.03333333333333333,0.001919200228509669,,,False,,,e121cfdfbdb733aabd93911101fa2e5bea81770ca9ba0756d79fcd80c8464a51
legitimate_knob,legitimate,compact_adversarial,repair_candidate,compact,0.20947176684881602,0.011644832605531296,0.005348682231712481,False,,False,boundary_not_planar,,9e9f0f8b7bc4729823683b8d9be3743385e5dbc7ba61f9385953046025031511
protrusion_large,defect_like,compact_protrusion,repair_candidate,compact,0.31437598736176936,0.006717044500419815,0.005965737731511969,False,,False,boundary_not_planar,,cc8737a7d4ca63af65aad5f585db9a449274a5459418c575afac32c90d533a76
protrusion_medium,defect_like,compact_protrusion,repair_candidate,compact,0.20947176684881602,0.011644832605531296,0.005348682231712794,False,,False,boundary_not_planar,,9e9f0f8b7bc4729823683b8d9be3743385e5dbc7ba61f9385953046025031511
protrusion_small,defect_like,compact_protrusion,repair_candidate,compact,0.11042944785276074,0.024922118380062305,0.003784469924528754,False,,False,boundary_not_planar,,7c09ae0d331fc978f3ef2ffc97b5c6a736a2c8ed5efe3078deee0f6f2eac56ff
